xload,zload,max_mesh,decknodes,piernodes,time,min_d,max_d,mean_d,min_s,max_s,mean_s,shell-size,deck-size,pier-size
34.955, 12.626, 0.69, 11076, 2838, 67.6768070019998, -0.000366273, 0.0001463790409146371, -4.185027043911812e-06, -6.965455043808158, 11.8232242, 0.014933478740410719, 0.2865319796117583, 0.3144055299539171, 0.17882969285519756
34.955, 12.626, 0.68, 11218, 2838, 66.10765231300002, -0.000366274, 0.00014638067112929473, -4.184874659230265e-06, -6.965469747771593, 11.8232241, 0.014928025380321456, 0.2836247120986661, 0.31040036396724296, 0.17882969285519756
34.955, 12.626, 0.67, 11988, 2838, 75.56970292300002, -0.00036632, 0.00014675093637333457, -4.183660064191533e-06, -6.966165329585826, 11.8243339, 0.014925854925675702, 0.2687627070625228, 0.2902492980515613, 0.17882969285519756
34.955, 12.626, 0.66, 12150, 2904, 76.20697163900059, -0.000366322, 0.00014675193493276023, -4.183587854275851e-06, -6.9661231306098435, 11.82436905, 0.014925695327568425, 0.26452979434482865, 0.28632701024005375, 0.17435895053381764
34.955, 12.626, 0.65, 12225, 3432, 84.97981797099965, -0.000366204, 0.00014682993061103716, -4.176636810157208e-06, -6.971988052657897, 11.933254849999999, 0.014891753661108339, 0.2549813511556901, 0.2845595595595596, 0.14945052902902722
34.955, 12.626, 0.64, 12675, 3432, 85.57280502100002, -0.000366211, 0.00014654765821639344, -4.17599417935851e-06, -6.971992633970691, 11.933315849999998, 0.014886808042142477, 0.24781242258976263, 0.2743967181467182, 0.14945052902902722
34.955, 12.626, 0.63, 12675, 3432, 85.44628396100052, -0.000366211, 0.00014654765821639344, -4.17599417935851e-06, -6.971992633970691, 11.933315849999998, 0.014886808042142477, 0.24781242258976263, 0.2743967181467182, 0.14945052902902722
34.955, 12.626, 0.62, 13050, 3432, 77.28390402600053, -0.000366496, 0.00014654429131147543, -4.176985005615222e-06, -6.971442236545219, 12.0805729, 0.0148978055198287, 0.2421392016790949, 0.2664661771598188, 0.14945052902902722
34.955, 12.626, 0.61, 13604, 3510, 78.34105080500012, -0.000366765, 0.00014663829131147542, -4.176976325529925e-06, -6.972057785717827, 12.10397265, 0.014910076264872167, 0.23302690112763674, 0.2555280898876405, 0.1458053941746607
34.955, 12.626, 0.6, 14640, 3666, 89.57130828299978, -0.000366997, 0.00014681126415435353, -4.180200966708797e-06, -6.959425807020576, 12.1302037, 0.014861474158215397, 0.21753495150292004, 0.23725831130894423, 0.13902374793397881
34.955, 12.626, 0.59, 15189, 3666, 110.17076723300033, -0.000367024, 0.00014682452890428125, -4.180789638933312e-06, -6.959910789509781, 12.13093215, 0.014854368485933954, 0.21112719991031137, 0.2285781291878853, 0.13902374793397881
34.955, 12.626, 0.58, 15521, 3666, 106.51687872599996, -0.000367029, 0.00014695248642761184, -4.180529696639534e-06, -6.959916435080458, 12.1309634, 0.014855789049352147, 0.20745620109931787, 0.2236624704956727, 0.13902374793397881
34.955, 12.626, 0.57, 15687, 3666, 98.51510573199994, -0.00036703, 0.00014695348642761183, -4.180596847170091e-06, -6.959923245015165, 12.1309633, 0.01485174039613572, 0.2056681615270933, 0.2212830825116762, 0.13902374793397881
