sensortype,sensorlabel,xpostruck,inflinedata
displacements,U6,99.75,0.000290233372228704
displacements,U7,10.5,-0.183578096349392
displacements,U7,16.875,-0.0347879063177195
displacements,U7,24.525,0.0554805417569596
displacements,U7,32.175,0.0120843840640107
displacements,U7,39.825,0.00185364727454576
displacements,U7,47.475,-0.000478834805801003
displacements,U7,55.125,0.00624078013002167
displacements,U7,62.775,0.00447663443907318
displacements,U7,70.425,0.00258366112956813
displacements,U7,78.075,-0.00233195532588762
displacements,U7,85.725,0.0018312168694783
displacements,U7,93.375,0.00167036006000999
displacements,U7,99.75,0.00684055842640443
displacements,U8,10.5,-0.022765940990165
displacements,U8,16.875,0.00122786464410736
displacements,U8,24.525,0.0200604984164028
displacements,U8,32.175,0.00525155359226538
displacements,U8,39.825,-0.000919648274712472
displacements,U8,47.475,0.00167231538589765
displacements,U8,55.125,0.00185223537256212
displacements,U8,62.775,-0.000503288881480268
displacements,U8,70.425,0.000297367109634589
displacements,U8,78.075,-0.00158613435572598
displacements,U8,85.725,-0.00203322387064509
displacements,U8,93.375,-0.00169414069011502
displacements,U8,99.75,-0.00186453242207035
displacements,U9,10.5,-0.17306574262377
displacements,U9,16.875,-0.0179758643107184
displacements,U9,24.525,0.0147796732788798
displacements,U9,32.175,0.00543411235205868
displacements,U9,39.825,0.00121283547257875
displacements,U9,47.475,-0.000898003000500095
displacements,U9,55.125,0.00259770128354725
displacements,U9,62.775,0.00123426237706284
displacements,U9,70.425,0.00195020930232558
displacements,U9,78.075,0.00066303383897315
displacements,U9,85.725,0.000171408568094694
displacements,U9,93.375,-0.000869458243040491
displacements,U9,99.75,-0.000769288214702455
displacements,U10,10.5,-0.533948043007174
displacements,U10,16.875,-0.0665341390231705
displacements,U10,24.525,0.0461551141856976
displacements,U10,32.175,0.00877818136356059
displacements,U10,39.825,-0.00112802633772297
displacements,U10,47.475,0.00101998833138859
displacements,U10,55.125,0.00336329554925823
displacements,U10,62.775,0.000800893482247034
displacements,U10,70.425,0.00221250830564785
displacements,U10,78.075,-0.0013203833972329
displacements,U10,85.725,-0.000837916319386534
displacements,U10,93.375,-0.000955407567927993
displacements,U10,99.75,-0.000513172195365915
displacements,U11,10.5,-0.511302285380896
displacements,U11,16.875,-0.153988416402734
displacements,U11,24.525,0.0792148058009667
displacements,U11,32.175,0.0114314385730955
displacements,U11,39.825,-0.00535970995165865
displacements,U11,47.475,0.000256696116019357
displacements,U11,55.125,0.00122836139356559
displacements,U11,62.775,-0.000172193698949835
displacements,U11,70.425,0.00270813455149502
displacements,U11,78.075,0.00163854975829304
displacements,U11,85.725,0.00100173695615936
displacements,U11,93.375,0.0045077646274379
displacements,U11,99.75,0.00259573928988165
displacements,U12,10.5,-0.047747404567428
displacements,U12,16.875,-0.135360416736122
displacements,U12,24.525,-0.0171007001166861
displacements,U12,32.175,0.00632331555259211
displacements,U12,39.825,0.00589518586431073
displacements,U12,47.475,0.0052520886814469
displacements,U12,55.125,0.00895865810968497
displacements,U12,62.775,0.00318932155359227
displacements,U12,70.425,0.00340726411960133
displacements,U12,78.075,0.0080027204534089
displacements,U12,85.725,0.00289050841806968
displacements,U12,93.375,0.00635652608768127
displacements,U12,99.75,0.00284379063177196
displacements,U13,10.5,0.0768277996332723
displacements,U13,16.875,-0.131763922320387
displacements,U13,24.525,-0.705422532088687
displacements,U13,32.175,-0.0989235489248212
displacements,U13,39.825,0.0696932905484248
displacements,U13,47.475,0.0068819136522754
displacements,U13,55.125,-0.00224969494915819
displacements,U13,62.775,-0.000998156359393231
displacements,U13,70.425,0.00119563455149502
displacements,U13,78.075,-0.00103381063510585
displacements,U13,85.725,0.00179444240706783
displacements,U13,93.375,0.00598967327887981
displacements,U13,99.75,0.00158278713118852
displacements,U14,10.5,-0.00223136356059343
displacements,U14,16.875,0.00157520253375563
displacements,U14,24.525,-0.0252786831138523
displacements,U14,32.175,-0.135865292548758
displacements,U14,39.825,-0.026520350058343
displacements,U14,47.475,-0.000101013502250387
displacements,U14,55.125,0.00154749124854143
displacements,U14,62.775,0.00195928321386899
displacements,U14,70.425,0.00214716279069768
displacements,U14,78.075,-0.000119236539423227
displacements,U14,85.725,0.00117951325220871
displacements,U14,93.375,0.0020999133188865
displacements,U14,99.75,0.00180336722787132
displacements,U15,10.5,-0.00535988998166361
displacements,U15,16.875,0.0155555409234872
displacements,U15,24.525,0.0915132205367568
displacements,U15,32.175,-0.161506111018502
displacements,U15,39.825,-0.488446367727955
displacements,U15,47.475,-0.0476089898316384
displacements,U15,55.125,0.0271985647607935
displacements,U15,62.775,0.00583933988998164
displacements,U15,70.425,0.00207668438538205
displacements,U15,78.075,-0.00138723953992331
displacements,U15,85.725,-0.00108247707951325
displacements,U15,93.375,-0.00229122020336723
displacements,U15,99.75,-0.000918298049674942
displacements,U16,10.5,-0.00952292715452575
displacements,U16,16.875,0.00666428904817467
displacements,U16,24.525,0.0811385547591265
displacements,U16,32.175,-0.0567607467911315
displacements,U16,39.825,-0.298003347224536
displacements,U16,47.475,-0.053126271045174
displacements,U16,55.125,0.0588312402067009
displacements,U16,62.775,0.00843186531088515
displacements,U16,70.425,-0.00307978405315615
displacements,U16,78.075,-0.00185354225704284
displacements,U16,85.725,0.000372170361726953
displacements,U16,93.375,-0.000166034339056517
displacements,U16,99.75,0.00245425904317384
displacements,U17,10.5,-0.0110357342890482
displacements,U17,16.875,0.00585556092682113
displacements,U17,24.525,0.0747220336722788
displacements,U17,32.175,-0.0853947907984664
displacements,U17,39.825,-0.427845105850975
displacements,U17,47.475,-0.0669462910485082
displacements,U17,55.125,0.0578017136189363
displacements,U17,62.775,0.00799441240206697
displacements,U17,70.425,-0.000416734219269108
displacements,U17,78.075,-0.00174886147691282
displacements,U17,85.725,-0.000852775462577101
displacements,U17,93.375,-0.000437956326054377
displacements,U17,99.75,0.00135068678113019
displacements,U18,10.5,-0.00498242040340055
displacements,U18,16.875,0.011150251708618
displacements,U18,24.525,0.0777491481913651
displacements,U18,32.175,-0.113586614435739
displacements,U18,39.825,-0.612034672445402
displacements,U18,47.475,-0.0893988964827473
displacements,U18,55.125,0.0533656509418233
displacements,U18,62.775,0.00677619936656109
displacements,U18,70.425,-0.00155481395348835
displacements,U18,78.075,-0.000805779296549423
displacements,U18,85.725,0.000332205367561261
