sensortype,sensorlabel,xpostruck,infline1,infline2
strains,B4,15,6.211497238,20.83284944
strains,B4,16,3.323503318375,11.249055143625
strains,B4,17,1.374531505625,4.578221184
strains,B4,18,-0.04570955983125,0.0517482525125
strains,B4,19,-1.083136966675,-3.245310402
strains,B4,20,-1.8965148095,-5.7174968315
strains,B4,21,-2.43358257675,-7.674965079125
strains,B4,22,-2.776214940625,-9.03613602225
strains,B4,23,-2.9571051255,-9.669682655
strains,B4,24,-2.98862853225,-9.80507322625
strains,B4,25,-2.888640217,-9.501660407625
strains,B4,26,-2.6812137205,-8.83837585825
strains,B4,27,-2.392269658375,-7.85733288275
strains,B4,28,-2.047728646,-6.7363432105
strains,B4,29,-1.67018656525,-5.503851793
strains,B4,30,-1.26536934725,-4.223151725
strains,B4,31,-0.867632582675,-2.95476548875
strains,B4,32,-0.5113872743,-1.766665436
strains,B4,33,-0.1955067063,-0.710120204475
strains,B4,34,0.0729409818675,0.2382849566
strains,B4,35,0.3061834251,0.956273698625
strains,B4,36,0.485214224225,1.501117653
strains,B4,37,0.5918089083,1.87847502525
strains,B4,38,0.64933297305,2.1055420815
strains,B4,39,0.66239794845,2.169019884
strains,B4,40,0.637874952575,2.11212998125
strains,B4,41,0.5845868459,1.94484657775
strains,B4,42,0.51150425475,1.70903670075
strains,B4,43,0.427234547525,1.432960594
strains,B4,44,0.339110610975,1.13438711695
strains,B4,45,0.25249511885,0.851532245975
strains,B4,46,0.1723259176,0.587886952525
strains,B4,47,0.103482978775,0.3513259319
strains,B4,48,0.04769147014,0.173064747475
strains,B4,49,0.0107064456835,0.0390176071225
strains,B4,50,-0.01190667481975,-0.0391807652675
strains,B4,51,-0.0238451193375,-0.07669362208
strains,B4,52,-0.026713626425,-0.0876794069875
strains,B4,53,-0.0245771766275,-0.08038530880125
strains,B4,54,-0.01803730063,-0.0605107844925
strains,B4,55,-0.0092896777555,-0.0325626964625
strains,B4,56,0.0003820427739,-0.000882587749225
strains,B4,57,0.009546544261,0.030167040465
strains,B4,58,0.01702941348625,0.056336395505
strains,B4,59,0.0219537147675,0.07423085567
strains,B4,60,0.02384080947,0.08183033688
strains,B4,61,0.022399475475,0.0742333184425
strains,B4,62,0.01743392286,0.059160572805
strains,B4,63,0.00908157398775,0.0330583281575
strains,B4,64,-0.00326181086625,-0.00407046018775
strains,B4,65,-0.0160947936675,-0.0481452346925
strains,B4,66,-0.028989222485,-0.09528750781
strains,B4,67,-0.04041091704,-0.136086310525
strains,B4,68,-0.04918636917,-0.1663413949
strains,B4,69,-0.0549597091425,-0.1855879138
strains,B4,70,-0.057415087175,-0.193733513425
strains,B4,71,-0.0565100205475,-0.191806398775
strains,B4,72,-0.0531994469075,-0.181518192425
strains,B4,73,-0.0479993158,-0.1646297723
strains,B4,74,-0.041456361345,-0.14298205625
strains,B4,75,-0.0335958269075,-0.11816845409
strains,B4,76,-0.0257593044425,-0.09057315735
strains,B4,77,-0.017848283295,-0.062519786075
strains,B4,78,-0.01001453144025,-0.0368251292525
strains,B4,79,-0.002888024507,-0.0133814408575
strains,B4,80,0.00323619809825,0.007200389923125
strains,B4,81,0.00830801908075,0.02577900657
strains,B4,82,0.01216298722,0.040731076655
strains,B4,83,0.0149569956225,0.0504977922325
strains,B4,84,0.0166981714175,0.0566713317325
strains,B4,85,0.017445621,0.05943270848125
strains,B4,86,0.0173009334775,0.05912116854
strains,B4,87,0.0164137219075,0.0562471202325
strains,B4,88,0.014934830725,0.05133328571
strains,B4,89,0.0130261868175,0.04491839511
strains,B4,90,0.01083204672525,0.0374857663225
strains,B4,91,0.00835936775875,0.0294700776075
strains,B4,92,0.00597300875275,0.021249363595
strains,B4,93,0.00366749005175,0.01324968286
strains,B4,94,0.001544954889,0.00530935479525
strains,B4,95,-0.00046255677215,-0.001135723163525
strains,B4,96,-0.002092427844,-0.00657509354975
strains,B4,97,-0.0034260158125,-0.01129079851875
strains,B4,98,-0.004318091347,-0.014511850605
strains,B4,99,-0.00489333199275,-0.0168471687775
strains,B4,100,-0.0051359760455,-0.01777747876
strains,B4,101,-0.00508487364425,-0.01768019949
strains,B4,102,-0.004774811363,-0.0166698496025
strains,B4,103,-0.004208436676,-0.0148824969375
strains,B4,104,-0.00360536677075,-0.0128500990225
strains,B4,105,-0.0029759452655,-0.010645984726
strains,B4,106,-0.0022917272095,-0.008305094543625
strains,B4,107,-0.00149385248725,-0.0056610993955
strains,B4,108,-0.000781755916525,-0.003320178429
strains,B4,109,-0.0003603519696,-0.0016403255145
strains,B4,110,-0.00011148696905,-0.000492208478875
strains,B4,111,0,0
strains,B4,112,0,0
strains,B4,113,0,0
strains,B4,114,0,0
strains,B4,115,0,0
strains,B4,116,0,0
strains,B5,1,-0.03384322895,-0.11257941925
strains,B5,2,-0.140897782,-0.417800889
strains,B5,3,-0.2615721635,-0.822281348
strains,B5,4,-0.3739866335,-1.24477551
strains,B5,5,-0.536066389,-1.78319476
strains,B5,6,-0.7788032155,-2.590325675
strains,B5,7,-1.0702716525,-3.558733385
strains,B5,8,-1.40350026,-4.66576071
strains,B5,9,-1.747652865,-5.80671156
strains,B5,10,-2.02383393,-6.718538565
strains,B5,11,-2.222457725,-7.350076335
strains,B5,12,-2.31377114,-7.652338055
strains,B5,13,-2.294537435,-7.595944085
strains,B5,14,-2.154361695,-7.14647294
strains,B5,15,-1.816993795,-6.246099015
strains,B5,16,-1.3562376315,-4.81016911
strains,B5,17,-0.68241994525,-2.58839608
strains,B5,18,0.29589716875,0.6238007165
strains,B5,19,1.7135737275,4.9923291025
strains,B5,20,3.87861044,11.6193052725
strains,B5,21,6.6348501625,20.91992205
strains,B5,22,8.21721143,27.0927587
strains,B5,23,8.5683665975,28.248959575
strains,B5,24,10.0057281375,32.32445095
strains,B5,25,12.664429945,41.2696799
strains,B5,26,14.384508275,47.849910075
strains,B5,27,14.1482885,47.16241405
strains,B5,28,12.17711384,40.371173325
strains,B5,29,8.7130239775,28.778042075
strains,B5,30,5.14977783,17.13916075
strains,B5,31,2.73977592,9.2683738675
strains,B5,32,1.19558639875,4.1803430775
strains,B5,33,0.1390565749,0.689288681
strains,B5,34,-0.6101690615,-1.922187845
strains,B5,35,-1.18628699575,-3.716586705
strains,B5,36,-1.60119038,-5.0013546275
strains,B5,37,-1.83323974,-5.85239939
strains,B5,38,-1.947459315,-6.33355324
strains,B5,39,-1.95436851,-6.41521868
strains,B5,40,-1.86784796,-6.191821375
strains,B5,41,-1.707691575,-5.686018505
strains,B5,42,-1.496058575,-4.999207175
strains,B5,43,-1.2542927705,-4.20489873
strains,B5,44,-1.0020760305,-3.34367691
strains,B5,45,-0.75334189825,-2.528827615
strains,B5,46,-0.5213205485,-1.764459015
strains,B5,47,-0.3194351155,-1.071224001
