53843K79J 79J2019032920090209   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
53843K79J 79J2019032920100210   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
53843K79J 79J2019032920110211   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
53843K79J 79J2019032920120212   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
53843K79J 79J2019032920130213   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
53843K79J 79J2019032920140214   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
53843K79J 79J2019032920150215   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
53843K79J 79J2019032920160216   NP  0000    0.00              39991   29.803  29.798  29.786   64   49          
53843K79J 79J2019032920170217   NP  0000    0.00              39991   29.803  29.797  29.786   64   49          
53843K79J 79J2019032920180218   NP  0000    0.00              39991   29.803  29.797  29.786   64   49          
53843K79J 79J2019032920190219   NP  0000    0.00              39991   29.803  29.797  29.786   64   49          
53843K79J 79J2019032920200220   NP  0000    0.00              39991   29.804  29.798  29.786   63   49          
53843K79J 79J2019032920210221   NP  0000    0.00              39991   29.804  29.798  29.786   63   49          
53843K79J 79J2019032920220222   NP  0000    0.00              39991   29.804  29.798  29.786   63   49          
53843K79J 79J2019032920230223   NP  0000    0.00              39991   29.804  29.798  29.786   63   49          
53843K79J 79J2019032920240224   NP  0000    0.00              39991   29.804  29.798  29.786   63   49          
53843K79J 79J2019032920250225   NP  0000    0.00              39991   29.804  29.798  29.786   63   49          
53843K79J 79J2019032920260226   NP  0000    0.00              39991   29.804  29.797  29.786   63   49          
53843K79J 79J2019032920270227   NP  0000    0.00              39991   29.803  29.797  29.786   63   49          
53843K79J 79J2019032920280228   NP  0000    0.00              39991   29.803  29.797  29.786   63   49          
53843K79J 79J2019032920290229   NP  0000    0.00              39991   29.803  29.797  29.786   63   49          
53843K79J 79J2019032920300230   NP  0000    0.00              39991   29.803  29.797  29.785   63   49          
53843K79J 79J2019032920310231   NP  0000    0.00              39991   29.803  29.797  29.785   63   49          
53843K79J 79J2019032920320232   NP  0000    0.00              39991   29.802  29.796  29.785   63   49          
53843K79J 79J2019032920330233   NP  0000    0.00              39991   29.802  29.796  29.785   63   49          
53843K79J 79J2019032920340234   NP  0000    0.00              39991   29.802  29.796  29.785   63   49          
53843K79J 79J2019032920350235   NP  0000    0.00              39991   29.802  29.796  29.785   63   49          
53843K79J 79J2019032920360236   NP  0000    0.00              39991   29.802  29.796  29.784   63   49          
53843K79J 79J2019032920370237   NP  0000    0.00              39991   29.801  29.795  29.784   63   49          
53843K79J 79J2019032920380238   NP  0000    0.00              39991   29.801  29.795  29.783   63   49          
53843K79J 79J2019032920390239   NP  0000    0.00              39991   29.801  29.794  29.783   63   49          
53843K79J 79J2019032920400240   NP  0000    0.00              39991   29.800  29.794  29.782   63   49          
53843K79J 79J2019032920410241   NP  0000    0.00              39991   29.800  29.794  29.782   63   49          
53843K79J 79J2019032920420242   NP  0000    0.00              39991   29.800  29.794  29.782   63   49          
53843K79J 79J2019032920430243   NP  0000    0.00              39991   29.800  29.794  29.782   63   49          
53843K79J 79J2019032920440244   NP  0000    0.00              39991   29.800  29.794  29.782   63   49          
53843K79J 79J2019032920450245   NP  0000    0.00              39991   29.800  29.794  29.782   63   49          
53843K79J 79J2019032920460246   NP  0000    0.00              39991   29.800  29.794  29.782   63   49          
53843K79J 79J2019032920470247   NP  0000    0.00              39991   29.800  29.794  29.782   63   49          
53843K79J 79J2019032920480248   NP  0000    0.00              39991   29.801  29.794  29.783   63   49          
53843K79J 79J2019032920490249   NP  0000    0.00              39991   29.801  29.794  29.783   63   49          
53843K79J 79J2019032920500250   NP  0000    0.00              39991   29.801  29.794  29.783   62   49          
53843K79J 79J2019032920510251   NP  0000    0.00              39991   29.801  29.795  29.783   62   49          
53843K79J 79J2019032920520252   NP  0000    0.00              39991   29.801  29.795  29.783   63   49          
53843K79J 79J2019032920530253   NP  0000    0.00              39991   29.801  29.795  29.784   63   49          
53843K79J 79J2019032920540254   NP  0000    0.00              39991   29.802  29.796  29.784   62   49          
53843K79J 79J2019032920550255   NP  0000    0.00              39991   29.803  29.796  29.785   62   49          
53843K79J 79J2019032920560256   NP  0000    0.00              39991   29.803  29.797  29.785   62   49          
53843K79J 79J2019032920570257   NP  0000    0.00              39991   29.803  29.797  29.785   62   49          
53843K79J 79J2019032920580258   NP  0000    0.00              39991   29.803  29.797  29.785   62   49          
53843K79J 79J2019032920590259   NP  0000    0.00              39991   29.804  29.797  29.786   62   49          
53843K79J 79J2019032921000300   NP  0000    0.00              39991   29.804  29.797  29.786   62   49          
53843K79J 79J2019032921010301   NP  0000    0.00              39991   29.804  29.798  29.786   62   49          
53843K79J 79J2019032921020302   NP  0000    0.00              39991   29.804  29.798  29.786   62   49          
53843K79J 79J2019032921030303   NP  0000    0.00              39991   29.804  29.798  29.786   62   49          
53843K79J 79J2019032921040304   NP  0000    0.00              39991   29.804  29.797  29.786   62   49          
53843K79J 79J2019032921050305   NP  0000    0.00              39991   29.804  29.797  29.786   62   49          
53843K79J 79J2019032921060306   NP  0000    0.00              39991   29.804  29.797  29.786   62   49          
53843K79J 79J2019032921070307   NP  0000    0.00              39991   29.804  29.798  29.786   62   49          
53843K79J 79J2019032921080308   NP  0000    0.00              39991   29.804  29.798  29.786   62   49          
53843K79J 79J2019032921090309   NP  0000    0.00              39991   29.805  29.799  29.787   62   49          
53843K79J 79J2019032921100310   NP  0000    0.00              39991   29.805  29.799  29.787   62   49          
53843K79J 79J2019032921110311   NP  0000    0.00              39991   29.805  29.799  29.787   62   49          
53843K79J 79J2019032921120312   NP  0000    0.00              39991   29.806  29.799  29.788   62   49          
53843K79J 79J2019032921130313   NP  0000    0.00              39991   29.805  29.799  29.787   62   49          
53843K79J 79J2019032921140314   NP  0000    0.00              39991   29.805  29.799  29.787   62   49          
53843K79J 79J2019032921150315   NP  0000    0.00              39991   29.805  29.799  29.787   62   49          
53843K79J 79J2019032921160316   NP  0000    0.00              39991   29.805  29.799  29.787   62   49          
53843K79J 79J2019032921170317   NP  0000    0.00              39991   29.805  29.799  29.787   62   49          
53843K79J 79J2019032921180318   NP  0000    0.00              39991   29.805  29.799  29.787   62   49          
53843K79J 79J2019032921190319   NP  0000    0.00              39991   29.805  29.798  29.787   62   49          
53843K79J 79J2019032921200320   NP  0000    0.00              39991   29.804  29.798  29.786   62   49          
53843K79J 79J2019032921210321   NP  0000    0.00              39991   29.804  29.798  29.786   62   49          
53843K79J 79J2019032921220322   NP  0000    0.00              39991   29.804  29.798  29.786   62   49          
53843K79J 79J2019032921230323   NP  0000    0.00              39991   29.804  29.797  29.786   62   49          
53843K79J 79J2019032921240324   NP  0000    0.00              39991   29.804  29.797  29.785   61   49          
53843K79J 79J2019032921250325   NP  0000    0.00              39991   29.803  29.797  29.785   61   49          
53843K79J 79J2019032921260326   ?2  0000    0.00              39991   29.803  29.797  29.785   61   49          
53843K79J 79J2019032921270327   NP  0000    0.00              39991   29.803  29.796  29.784   61   49          
53843K79J 79J2019032921280328   NP  0000    0.00              39991   29.802  29.796  29.784   61   49          
53843K79J 79J2019032921290329   NP  0000    0.00              39991   29.802  29.796  29.784   61   49          
53843K79J 79J2019032921300330   NP  0000    0.00              39991   29.802  29.796  29.784   61   49          
53843K79J 79J2019032921310331   NP  0000    0.00              39991   29.802  29.796  29.784   61   49          
53843K79J 79J2019032921320332   NP  0000    0.00              39991   29.801  29.795  29.783   61   49          
53843K79J 79J2019032921330333   NP  0000    0.00              39991   29.801  29.795  29.783   61   49          
53843K79J 79J2019032921340334   NP  0000    0.00              39991   29.801  29.795  29.783   61   49          
53843K79J 79J2019032921350335   NP  0000    0.00              39991   29.800  29.794  29.782   61   49          
53843K79J 79J2019032921360336   NP  0000    0.00              39991   29.800  29.794  29.782   60   49          
53843K79J 79J2019032921370337   NP  0000    0.00              39991   29.800  29.793  29.781   61   49          
53843K79J 79J2019032921380338   NP  0000    0.00              39991   29.799  29.793  29.781   61   49          
53843K79J 79J2019032921390339   NP  0000    0.00              39991   29.799  29.793  29.781   61   50          
53843K79J 79J2019032921400340   NP  0000    0.00              39991   29.799  29.792  29.781   61   50          
53843K79J 79J2019032921410341   NP  0000    0.00              39991   29.798  29.792  29.780   61   50          
53843K79J 79J2019032921420342   NP  0000    0.00              39991   29.798  29.792  29.780   61   50          
53843K79J 79J2019032921430343   NP  0000    0.00              39991   29.797  29.791  29.779   61   50          
53843K79J 79J2019032921440344   NP  0000    0.00              39991   29.797  29.791  29.779   61   50          
53843K79J 79J2019032921450345   NP  0000    0.00              39991   29.797  29.791  29.779   61   50          
53843K79J 79J2019032921460346   NP  0000    0.00              39991   29.798  29.791  29.779   61   50          
53843K79J 79J2019032921470347   NP  0000    0.00              39991   29.798  29.792  29.780   61   50          
53843K79J 79J2019032921480348   NP  0000    0.00              39991   29.798  29.791  29.779   61   50          
53843K79J 79J2019032921490349   NP  0000    0.00              39991   29.797  29.791  29.779   61   50          
53843K79J 79J2019032921500350   NP  0000    0.00              39991   29.797  29.791  29.779   61   50          
53843K79J 79J2019032921510351   NP  0000    0.00              39991   29.797  29.791  29.779   61   50          
53843K79J 79J2019032921520352   NP  0000    0.00              39991   29.797  29.791  29.779   61   50          
